프로그램ID,name,category,source,raw_text
P0067,치매검진,,전국치매센터표준데이터_utf8.csv,치매검진
P0068,치매예방등록관리,,전국치매센터표준데이터_utf8.csv,치매예방등록관리
P0069,지역사회자원 강화,,전국치매센터표준데이터_utf8.csv,지역사회자원 강화
P0070,인지카페 기억다방 운영,,전국치매센터표준데이터_utf8.csv,인지카페 기억다방 운영
P0071,기억키움학교,,전국치매센터표준데이터_utf8.csv,기억키움학교
P0072,치매 찾동 협업 인지강화프로그램 등,,전국치매센터표준데이터_utf8.csv,치매 찾동 협업 인지강화프로그램 등
P0073,치매인식개선 및 등록관리사업,,전국치매센터표준데이터_utf8.csv,치매인식개선 및 등록관리사업
P0074,쉼터 및 인지건강프로그램 운영,,전국치매센터표준데이터_utf8.csv,쉼터 및 인지건강프로그램 운영
P0075,치매검사,,전국치매센터표준데이터_utf8.csv,치매검사
P0076,치매 상담 및 등록관리,,전국치매센터표준데이터_utf8.csv,치매 상담 및 등록관리
P0077,치매인식개선,,전국치매센터표준데이터_utf8.csv,치매인식개선
P0078,인지강화 및 치매예방교실 운영 등,,전국치매센터표준데이터_utf8.csv,인지강화 및 치매예방교실 운영 등
P0079,"치매예방 및 인식개선(교육, 홍보)치매조기검진(선별검진, 정밀검진)치매예방등록사업(상담 및 사례관리, 환자 및 가족 지원, 인지건강 프로그램 운영)치매치료비 및 원인확진검사비 지원(저소득 치매환자)치매지역사회 지원강화(지역사회 인적, 물적 자원 연계)치매통합관리 정보시스템 구축 운영",,전국치매센터표준데이터_utf8.csv,"치매예방 및 인식개선(교육, 홍보)치매조기검진(선별검진, 정밀검진)치매예방등록사업(상담 및 사례관리, 환자 및 가족 지원, 인지건강 프로그램 운영)치매치료비 및 원인확진검사비 지원(저소득 치매환자)치매지역사회 지원강화(지역사회 인적, 물적 자원 연계)치매통합관리 정보시스템 구축 운영"
P0080,조기검진사업,,전국치매센터표준데이터_utf8.csv,조기검진사업
P0081,치매환자등록관리사업,,전국치매센터표준데이터_utf8.csv,치매환자등록관리사업
P0082,치매환자쉼터 운영사업,,전국치매센터표준데이터_utf8.csv,치매환자쉼터 운영사업
P0083,가족모임운영,,전국치매센터표준데이터_utf8.csv,가족모임운영
P0084,교육 및 인지프로그램 운영,,전국치매센터표준데이터_utf8.csv,교육 및 인지프로그램 운영
P0085,치매예방관리사업,,전국치매센터표준데이터_utf8.csv,치매예방관리사업
P0086,홍보사업,,전국치매센터표준데이터_utf8.csv,홍보사업
P0087,치매파트너 양성,,전국치매센터표준데이터_utf8.csv,치매파트너 양성
P0088,지역자원강화사업 등,,전국치매센터표준데이터_utf8.csv,지역자원강화사업 등
P0089,"치매 조기검진 및 등록관리, 치료비 지원 및 사례관리, 인지건강프로그램 운영, 치매예방 교육 및 홍보",,전국치매센터표준데이터_utf8.csv,"치매 조기검진 및 등록관리, 치료비 지원 및 사례관리, 인지건강프로그램 운영, 치매예방 교육 및 홍보"
P0090,치매예방 및 인식개선사업,,전국치매센터표준데이터_utf8.csv,치매예방 및 인식개선사업
P0091,치매조기검진 사업,,전국치매센터표준데이터_utf8.csv,치매조기검진 사업
P0092,치매예방등록관리 사업,,전국치매센터표준데이터_utf8.csv,치매예방등록관리 사업
P0093,저소득층 치매치료비 및 원인확진검사비 지원 사업,,전국치매센터표준데이터_utf8.csv,저소득층 치매치료비 및 원인확진검사비 지원 사업
P0094,치매지역사회자원강화 사업 등,,전국치매센터표준데이터_utf8.csv,치매지역사회자원강화 사업 등
P0095,맞춤형 치매예방 프로그램,,전국치매센터표준데이터_utf8.csv,맞춤형 치매예방 프로그램
P0096,"지매환자 약제비, 검사비 지원",,전국치매센터표준데이터_utf8.csv,"지매환자 약제비, 검사비 지원"
P0097,"가족 지원(힐링 프로그램, 자조모임, 교육)",,전국치매센터표준데이터_utf8.csv,"가족 지원(힐링 프로그램, 자조모임, 교육)"
P0098,조호물품지원,,전국치매센터표준데이터_utf8.csv,조호물품지원
P0099,인식개선사업 등,,전국치매센터표준데이터_utf8.csv,인식개선사업 등
P0100,지역사회자원강화,,전국치매센터표준데이터_utf8.csv,지역사회자원강화
P0101,치매상담,,전국치매센터표준데이터_utf8.csv,치매상담
P0102,치매조기검진사업,,전국치매센터표준데이터_utf8.csv,치매조기검진사업
P0103,치매예방교실,,전국치매센터표준데이터_utf8.csv,치매예방교실
P0104,치매환자쉼터,,전국치매센터표준데이터_utf8.csv,치매환자쉼터
P0105,치매가족교실,,전국치매센터표준데이터_utf8.csv,치매가족교실
P0106,치매환자조호물품지원,,전국치매센터표준데이터_utf8.csv,치매환자조호물품지원
P0107,치매인식개선사업 등,,전국치매센터표준데이터_utf8.csv,치매인식개선사업 등
P0108,치매예방프로그램,,전국치매센터표준데이터_utf8.csv,치매예방프로그램
P0109,치매환자 지원,,전국치매센터표준데이터_utf8.csv,치매환자 지원
P0110,치매 인식 개선사업 등,,전국치매센터표준데이터_utf8.csv,치매 인식 개선사업 등
P0111,치매 선별검사,,전국치매센터표준데이터_utf8.csv,치매 선별검사
P0112,치매환자 인지재활 프로그램,,전국치매센터표준데이터_utf8.csv,치매환자 인지재활 프로그램
P0113,치매환자가족교실,,전국치매센터표준데이터_utf8.csv,치매환자가족교실
P0114,자조모임,,전국치매센터표준데이터_utf8.csv,자조모임
P0115,치매 예방교육 등,,전국치매센터표준데이터_utf8.csv,치매 예방교육 등
P0116,인지재활프로그램,,전국치매센터표준데이터_utf8.csv,인지재활프로그램
P0117,고위험군 인지강화교실,,전국치매센터표준데이터_utf8.csv,고위험군 인지강화교실
P0118,치매예방교실 등,,전국치매센터표준데이터_utf8.csv,치매예방교실 등
P0119,가족지원사업 등,,전국치매센터표준데이터_utf8.csv,가족지원사업 등
P0120,치매상담 및 등록관리,,전국치매센터표준데이터_utf8.csv,치매상담 및 등록관리
P0121,치매조기검진 및 예방관리,,전국치매센터표준데이터_utf8.csv,치매조기검진 및 예방관리
P0122,치매환자쉼터 운영,,전국치매센터표준데이터_utf8.csv,치매환자쉼터 운영
P0123,치매가족 지원,,전국치매센터표준데이터_utf8.csv,치매가족 지원
P0124,치매인식개선 및 교육홍보 등,,전국치매센터표준데이터_utf8.csv,치매인식개선 및 교육홍보 등
P0125,치매대상자 등록관리,,전국치매센터표준데이터_utf8.csv,치매대상자 등록관리
P0126,치매치료관리비지원,,전국치매센터표준데이터_utf8.csv,치매치료관리비지원
P0127,치매인식개선 및 홍보 등,,전국치매센터표준데이터_utf8.csv,치매인식개선 및 홍보 등
P0128,가족교육 등,,전국치매센터표준데이터_utf8.csv,가족교육 등
P0129,치매환자 등록 관리,,전국치매센터표준데이터_utf8.csv,치매환자 등록 관리
P0130,중증치매노인공공후견,,전국치매센터표준데이터_utf8.csv,중증치매노인공공후견
P0131,치매치료관리비 지원,,전국치매센터표준데이터_utf8.csv,치매치료관리비 지원
P0132,치매환자 쉼터 및 가족지원,,전국치매센터표준데이터_utf8.csv,치매환자 쉼터 및 가족지원
P0133,치매 인식 개선을 위한 홍보 캠페인 등,,전국치매센터표준데이터_utf8.csv,치매 인식 개선을 위한 홍보 캠페인 등
P0134,치료관리비 지원,,전국치매센터표준데이터_utf8.csv,치료관리비 지원
P0135,치매예방 챌린지 <기억 쑥쑥 뇌 튼튼 요일표> 프로그램,,전국치매센터표준데이터_utf8.csv,치매예방 챌린지 <기억 쑥쑥 뇌 튼튼 요일표> 프로그램
P0136,"치매조기검진, 치매예방프로그램, 치매환자 지원사업, 치매 인식개선 홍보 캠페인 등",,전국치매센터표준데이터_utf8.csv,"치매조기검진, 치매예방프로그램, 치매환자 지원사업, 치매 인식개선 홍보 캠페인 등"
P0137,치매상담검진,,전국치매센터표준데이터_utf8.csv,치매상담검진
P0138,환자 및 가족 지원,,전국치매센터표준데이터_utf8.csv,환자 및 가족 지원
P0139,인식개선홍보,,전국치매센터표준데이터_utf8.csv,인식개선홍보
P0140,치매사례관리,,전국치매센터표준데이터_utf8.csv,치매사례관리
P0141,치매상담 및 정보 제공,,전국치매센터표준데이터_utf8.csv,치매상담 및 정보 제공
P0142,치매가구 맞춤형 사례관리,,전국치매센터표준데이터_utf8.csv,치매가구 맞춤형 사례관리
P0143,치매예방 및 인지강화교실 운영,,전국치매센터표준데이터_utf8.csv,치매예방 및 인지강화교실 운영
P0144,치매환자 단기보호쉼터 운영,,전국치매센터표준데이터_utf8.csv,치매환자 단기보호쉼터 운영
P0145,치매가족교실 및 힐링까페 운영,,전국치매센터표준데이터_utf8.csv,치매가족교실 및 힐링까페 운영
P0146,치매환자 조호물품 지원,,전국치매센터표준데이터_utf8.csv,치매환자 조호물품 지원
P0147,치매인식개선사업 운영 등,,전국치매센터표준데이터_utf8.csv,치매인식개선사업 운영 등
P0148,치매초기상담,,전국치매센터표준데이터_utf8.csv,치매초기상담
P0149,1:1 사례관리,,전국치매센터표준데이터_utf8.csv,1:1 사례관리
P0150,치매치료비지원 등,,전국치매센터표준데이터_utf8.csv,치매치료비지원 등
P0151,"치매조기검진(선별,정밀)",,전국치매센터표준데이터_utf8.csv,"치매조기검진(선별,정밀)"
P0152,치매환자 공공후견인지원,,전국치매센터표준데이터_utf8.csv,치매환자 공공후견인지원
P0153,인지강화교실,,전국치매센터표준데이터_utf8.csv,인지강화교실
P0154,인지재활교실,,전국치매센터표준데이터_utf8.csv,인지재활교실
P0155,가족교실(헤아림),,전국치매센터표준데이터_utf8.csv,가족교실(헤아림)
P0156,가족모임지원 등,,전국치매센터표준데이터_utf8.csv,가족모임지원 등
P0157,"치매조기검진사업, 치매환자 및 가족프로그램 운영, 치매예방교육 및 인식개선사업 등",,전국치매센터표준데이터_utf8.csv,"치매조기검진사업, 치매환자 및 가족프로그램 운영, 치매예방교육 및 인식개선사업 등"
P0158,치매예방교실운영,,전국치매센터표준데이터_utf8.csv,치매예방교실운영
P0159,치매인지강화교실운영,,전국치매센터표준데이터_utf8.csv,치매인지강화교실운영
P0160,치매쉼터(인지재활교실)운영,,전국치매센터표준데이터_utf8.csv,치매쉼터(인지재활교실)운영
P0161,가족지원프로그램운영 및 자조모임운영,,전국치매센터표준데이터_utf8.csv,가족지원프로그램운영 및 자조모임운영
P0162,치매극복의 날 기념행사 등,,전국치매센터표준데이터_utf8.csv,치매극복의 날 기념행사 등
P0163,치매인지재활프로그램 등,,전국치매센터표준데이터_utf8.csv,치매인지재활프로그램 등
P0164,인지재활 및 가족지지 프로그램,,전국치매센터표준데이터_utf8.csv,인지재활 및 가족지지 프로그램
P0165,조호물품 제공,,전국치매센터표준데이터_utf8.csv,조호물품 제공
P0166,쉼터운영,,전국치매센터표준데이터_utf8.csv,쉼터운영
P0167,치매환자 실종예방사업,,전국치매센터표준데이터_utf8.csv,치매환자 실종예방사업
P0168,맞춤형사례관리,,전국치매센터표준데이터_utf8.csv,맞춤형사례관리
P0169,쉼터인지재활프로그램,,전국치매센터표준데이터_utf8.csv,쉼터인지재활프로그램
P0170,치매가족교실 등,,전국치매센터표준데이터_utf8.csv,치매가족교실 등
P0171,치매환자 및 가족 프로그램운영,,전국치매센터표준데이터_utf8.csv,치매환자 및 가족 프로그램운영
P0172,인식개선활동 및 홍보 등,,전국치매센터표준데이터_utf8.csv,인식개선활동 및 홍보 등
P0173,선별검사,,전국치매센터표준데이터_utf8.csv,선별검사
P0174,진단검사,,전국치매센터표준데이터_utf8.csv,진단검사
P0175,상담,,전국치매센터표준데이터_utf8.csv,상담
P0176,기억쉼터 운영 및 인지재활프로그램,,전국치매센터표준데이터_utf8.csv,기억쉼터 운영 및 인지재활프로그램
P0177,가족교실 운영,,전국치매센터표준데이터_utf8.csv,가족교실 운영
P0178,맞춤형사례관리 등,,전국치매센터표준데이터_utf8.csv,맞춤형사례관리 등
P0179,상담및등록관리사업,,전국치매센터표준데이터_utf8.csv,상담및등록관리사업
P0180,치매지원서비스관리(치매치료관리비 지원),,전국치매센터표준데이터_utf8.csv,치매지원서비스관리(치매치료관리비 지원)
P0181,맞춤형사례관리사업,,전국치매센터표준데이터_utf8.csv,맞춤형사례관리사업
P0182,치매가족및보호자지원사업,,전국치매센터표준데이터_utf8.csv,치매가족및보호자지원사업
P0183,치매인식개선 홍보,,전국치매센터표준데이터_utf8.csv,치매인식개선 홍보
P0184,치매 선별검사 및 진단검사,,전국치매센터표준데이터_utf8.csv,치매 선별검사 및 진단검사
P0185,치매예방 프로그램,,전국치매센터표준데이터_utf8.csv,치매예방 프로그램
P0186,치매환자 돌봄,,전국치매센터표준데이터_utf8.csv,치매환자 돌봄
P0187,치매환자 가족 지원,,전국치매센터표준데이터_utf8.csv,치매환자 가족 지원
P0188,치매 인식개선 홍보,,전국치매센터표준데이터_utf8.csv,치매 인식개선 홍보
P0189,조기검진 및 등록관리,,전국치매센터표준데이터_utf8.csv,조기검진 및 등록관리
P0190,치매환자지원사업,,전국치매센터표준데이터_utf8.csv,치매환자지원사업
P0191,치매환자 쉼터운영,,전국치매센터표준데이터_utf8.csv,치매환자 쉼터운영
P0192,치매환자 가족및보호자지원사업,,전국치매센터표준데이터_utf8.csv,치매환자 가족및보호자지원사업
P0193,치매인식개선사업,,전국치매센터표준데이터_utf8.csv,치매인식개선사업
P0194,맞춤형사례관리사업 등,,전국치매센터표준데이터_utf8.csv,맞춤형사례관리사업 등
P0195,인지재활프로그램 운영,,전국치매센터표준데이터_utf8.csv,인지재활프로그램 운영
P0196,치매관련교육,,전국치매센터표준데이터_utf8.csv,치매관련교육
P0197,조호물품 제공 등,,전국치매센터표준데이터_utf8.csv,조호물품 제공 등
P0198,인지강화 프로그램,,전국치매센터표준데이터_utf8.csv,인지강화 프로그램
P0199,쉼터 프로그램,,전국치매센터표준데이터_utf8.csv,쉼터 프로그램
P0200,찾아가는 치매예방교육 및 선별검사,,전국치매센터표준데이터_utf8.csv,찾아가는 치매예방교육 및 선별검사
P0201,상담 및 등록관리,,전국치매센터표준데이터_utf8.csv,상담 및 등록관리
P0202,치매 조기검진,,전국치매센터표준데이터_utf8.csv,치매 조기검진
P0203,치매환자 쉼터 운영,,전국치매센터표준데이터_utf8.csv,치매환자 쉼터 운영
P0204,치매지원 서비스,,전국치매센터표준데이터_utf8.csv,치매지원 서비스
P0205,치매가족 및 보호자 지원사업,,전국치매센터표준데이터_utf8.csv,치매가족 및 보호자 지원사업
P0206,치매 인식개선 및 교육·홍보 사업,,전국치매센터표준데이터_utf8.csv,치매 인식개선 및 교육·홍보 사업
P0207,치매 안심마을 운영,,전국치매센터표준데이터_utf8.csv,치매 안심마을 운영
P0208,치매조기선별검진,,전국치매센터표준데이터_utf8.csv,치매조기선별검진
P0209,인지건강프로그램운영등,,전국치매센터표준데이터_utf8.csv,인지건강프로그램운영등
P0210,치매환자등록,,전국치매센터표준데이터_utf8.csv,치매환자등록
P0211,치매조호물품,,전국치매센터표준데이터_utf8.csv,치매조호물품
P0212,프로그램 운영,,전국치매센터표준데이터_utf8.csv,프로그램 운영
P0213,치매예방,,전국치매센터표준데이터_utf8.csv,치매예방
P0214,"치매조기검진(선별,진단,감별검사)",,전국치매센터표준데이터_utf8.csv,"치매조기검진(선별,진단,감별검사)"
P0215,치매환자등록관리,,전국치매센터표준데이터_utf8.csv,치매환자등록관리
P0216,치매안심마을 만들기,,전국치매센터표준데이터_utf8.csv,치매안심마을 만들기
P0217,공공후견인사업운영,,전국치매센터표준데이터_utf8.csv,공공후견인사업운영
P0218,"치매예방교실 운영(미술활동, 치매예방운동, 보드게임,한지공예,원예교실 등)",,전국치매센터표준데이터_utf8.csv,"치매예방교실 운영(미술활동, 치매예방운동, 보드게임,한지공예,원예교실 등)"
P0219,"가족힐링프로그램(드라이플라워, 자조모임 등)",,전국치매센터표준데이터_utf8.csv,"가족힐링프로그램(드라이플라워, 자조모임 등)"
P0220,"쉼터운영(운동치료,요리치료,미술치료,음악치료,감각활동,전산화인지재활,인지카드학습)",,전국치매센터표준데이터_utf8.csv,"쉼터운영(운동치료,요리치료,미술치료,음악치료,감각활동,전산화인지재활,인지카드학습)"
P0221,치매인식개선 및 홍보 사업,,전국치매센터표준데이터_utf8.csv,치매인식개선 및 홍보 사업
P0222,치매파트너 양성사업 등,,전국치매센터표준데이터_utf8.csv,치매파트너 양성사업 등
P0223,인지프로그램,,전국치매센터표준데이터_utf8.csv,인지프로그램
P0224,가족지원사업,,전국치매센터표준데이터_utf8.csv,가족지원사업
P0225,인식개선 등,,전국치매센터표준데이터_utf8.csv,인식개선 등
P0226,"치매조기검진, 치매인식개선, 치매환자보호자 등록관리",,전국치매센터표준데이터_utf8.csv,"치매조기검진, 치매인식개선, 치매환자보호자 등록관리"
P0227,치매예방관리(조기검진,,전국치매센터표준데이터_utf8.csv,치매예방관리(조기검진
P0228,예방교육,,전국치매센터표준데이터_utf8.csv,예방교육
P0229,인식개선),,전국치매센터표준데이터_utf8.csv,인식개선)
P0230,치매등록관리(상담,,전국치매센터표준데이터_utf8.csv,치매등록관리(상담
P0231,프로그램),,전국치매센터표준데이터_utf8.csv,프로그램)
P0232,인식표배부 등,,전국치매센터표준데이터_utf8.csv,인식표배부 등
P0233,치매환자맞춤형사례관리,,전국치매센터표준데이터_utf8.csv,치매환자맞춤형사례관리
P0234,치매인식개선홍보캠페인등,,전국치매센터표준데이터_utf8.csv,치매인식개선홍보캠페인등
P0235,"무료 치매검사, 치매 가족교육, 치매 예방교육, 치매 인지교실, 조호물품 제공 등",,전국치매센터표준데이터_utf8.csv,"무료 치매검사, 치매 가족교육, 치매 예방교육, 치매 인지교실, 조호물품 제공 등"
P0236,치매예방 및 인지강화 프로그램,,전국치매센터표준데이터_utf8.csv,치매예방 및 인지강화 프로그램
P0237,치매환자 조호물품 등 지원,,전국치매센터표준데이터_utf8.csv,치매환자 조호물품 등 지원
P0238,환자가족 상담 및 힐링프로그램 등,,전국치매센터표준데이터_utf8.csv,환자가족 상담 및 힐링프로그램 등
P0239,"상담, 등록,조기검진,1:1사례관리, 단기쉼터, 치매카페운영",,전국치매센터표준데이터_utf8.csv,"상담, 등록,조기검진,1:1사례관리, 단기쉼터, 치매카페운영"
P0240,치매환자 인지프로그램,,전국치매센터표준데이터_utf8.csv,치매환자 인지프로그램
P0241,상담 및 등록관리사업,,전국치매센터표준데이터_utf8.csv,상담 및 등록관리사업
P0242,쉼터운영사업,,전국치매센터표준데이터_utf8.csv,쉼터운영사업
P0243,치매인식개선홍보사업,,전국치매센터표준데이터_utf8.csv,치매인식개선홍보사업
P0244,"치매예방 및 인지강화 프로그램, 돌봄 쉼터, 가족교실, 힐링프로그램, 가족 자조모임 운영",,전국치매센터표준데이터_utf8.csv,"치매예방 및 인지강화 프로그램, 돌봄 쉼터, 가족교실, 힐링프로그램, 가족 자조모임 운영"
P0245,교육지원,,전국치매센터표준데이터_utf8.csv,교육지원
P0246,무료치매선별검사,,전국치매센터표준데이터_utf8.csv,무료치매선별검사
P0247,치매예방 인지건강프로그램,,전국치매센터표준데이터_utf8.csv,치매예방 인지건강프로그램
P0248,치매예방 가족교육,,전국치매센터표준데이터_utf8.csv,치매예방 가족교육
P0249,치매 기획,,전국치매센터표준데이터_utf8.csv,치매 기획
P0250,연구,,전국치매센터표준데이터_utf8.csv,연구
P0251,교육,,전국치매센터표준데이터_utf8.csv,교육
P0252,기술지원사업(광역),,전국치매센터표준데이터_utf8.csv,기술지원사업(광역)
P0253,인지강화 및 치매예방교실,,전국치매센터표준데이터_utf8.csv,인지강화 및 치매예방교실
P0254,단기쉼터운영,,전국치매센터표준데이터_utf8.csv,단기쉼터운영
P0255,치매파트너 및 파트너플러스 양성,,전국치매센터표준데이터_utf8.csv,치매파트너 및 파트너플러스 양성
P0256,치매가족지지프로그램,,전국치매센터표준데이터_utf8.csv,치매가족지지프로그램
P0257,인식강화 등,,전국치매센터표준데이터_utf8.csv,인식강화 등
P0258,등록관리,,전국치매센터표준데이터_utf8.csv,등록관리
P0259,실종예방지원,,전국치매센터표준데이터_utf8.csv,실종예방지원
P0260,인식개선사업,,전국치매센터표준데이터_utf8.csv,인식개선사업
P0261,조호물품 및 치매치료관리비 지원,,전국치매센터표준데이터_utf8.csv,조호물품 및 치매치료관리비 지원
P0262,치매파트너교육,,전국치매센터표준데이터_utf8.csv,치매파트너교육
P0263,치매공공후견인 발굴,,전국치매센터표준데이터_utf8.csv,치매공공후견인 발굴
P0264,치매안심마을,,전국치매센터표준데이터_utf8.csv,치매안심마을
P0265,고위험군 인지강화교실 운영 등,,전국치매센터표준데이터_utf8.csv,고위험군 인지강화교실 운영 등
P0266,치매극복의날 기념행사,,전국치매센터표준데이터_utf8.csv,치매극복의날 기념행사
P0267,치매서포터즈양성,,전국치매센터표준데이터_utf8.csv,치매서포터즈양성
P0268,치매안심마을 운영,,전국치매센터표준데이터_utf8.csv,치매안심마을 운영
P0269,치매인지프로그램운영 등,,전국치매센터표준데이터_utf8.csv,치매인지프로그램운영 등
P0270,치매예방교실 등 치매 예방관리 통합서비스 제공,,전국치매센터표준데이터_utf8.csv,치매예방교실 등 치매 예방관리 통합서비스 제공
P0271,치매쉼터 운영,,전국치매센터표준데이터_utf8.csv,치매쉼터 운영
P0272,가족카페 운영,,전국치매센터표준데이터_utf8.csv,가족카페 운영
P0273,치매환자지원서비스,,전국치매센터표준데이터_utf8.csv,치매환자지원서비스
