프로그램ID,name,category,source,raw_text
P0001,치매선별검사,,전국치매센터표준데이터_utf8.csv,치매선별검사
P0002,인지건강증진프로그램운영 등,,전국치매센터표준데이터_utf8.csv,인지건강증진프로그램운영 등
P0003,치매예방및인식개선,,전국치매센터표준데이터_utf8.csv,치매예방및인식개선
P0004,치매조기검진,,전국치매센터표준데이터_utf8.csv,치매조기검진
P0005,치매및고위험인지재활프로그램,,전국치매센터표준데이터_utf8.csv,치매및고위험인지재활프로그램
P0006,치매치료비지원,,전국치매센터표준데이터_utf8.csv,치매치료비지원
P0007,치매지역자원강화 등,,전국치매센터표준데이터_utf8.csv,치매지역자원강화 등
P0008,조기검진,,전국치매센터표준데이터_utf8.csv,조기검진
P0009,쉼터,,전국치매센터표준데이터_utf8.csv,쉼터
P0010,가족지원,,전국치매센터표준데이터_utf8.csv,가족지원
P0011,인식개선 등치매검진,,전국치매센터표준데이터_utf8.csv,인식개선 등치매검진
P0012,치매치료비,,전국치매센터표준데이터_utf8.csv,치매치료비
P0013,조호물품,,전국치매센터표준데이터_utf8.csv,조호물품
P0014,배회인식표,,전국치매센터표준데이터_utf8.csv,배회인식표
P0015,가족모임,,전국치매센터표준데이터_utf8.csv,가족모임
P0016,인지건강센터,,전국치매센터표준데이터_utf8.csv,인지건강센터
P0017,기억친구 등,,전국치매센터표준데이터_utf8.csv,기억친구 등
P0018,무료치매검진 및 진단,,전국치매센터표준데이터_utf8.csv,무료치매검진 및 진단
P0019,치매예방교육,,전국치매센터표준데이터_utf8.csv,치매예방교육
P0020,치매예방인지재활프로그램,,전국치매센터표준데이터_utf8.csv,치매예방인지재활프로그램
P0021,치매가족지지 프로그램,,전국치매센터표준데이터_utf8.csv,치매가족지지 프로그램
P0022,실종예방프로그램,,전국치매센터표준데이터_utf8.csv,실종예방프로그램
P0023,조호물품지원 등,,전국치매센터표준데이터_utf8.csv,조호물품지원 등
P0024,치매조기검진 및 등록관리,,전국치매센터표준데이터_utf8.csv,치매조기검진 및 등록관리
P0025,치매예방 및 인식개선,,전국치매센터표준데이터_utf8.csv,치매예방 및 인식개선
P0026,치매의료비 지원,,전국치매센터표준데이터_utf8.csv,치매의료비 지원
P0027,인지건강프로그램 및 치매환자쉼터 운영,,전국치매센터표준데이터_utf8.csv,인지건강프로그램 및 치매환자쉼터 운영
P0028,치매환자 가족지원,,전국치매센터표준데이터_utf8.csv,치매환자 가족지원
P0029,맞춤형 인지프로그램 운영,,전국치매센터표준데이터_utf8.csv,맞춤형 인지프로그램 운영
P0030,사례관리,,전국치매센터표준데이터_utf8.csv,사례관리
P0031,조호물품 지원,,전국치매센터표준데이터_utf8.csv,조호물품 지원
P0032,치매공공후견사업,,전국치매센터표준데이터_utf8.csv,치매공공후견사업
P0033,기억키움쉼터 및 가족카페 운영,,전국치매센터표준데이터_utf8.csv,기억키움쉼터 및 가족카페 운영
P0034,무료치매검사,,전국치매센터표준데이터_utf8.csv,무료치매검사
P0035,정상 고위험 치매 프로그램 및 인지프로그램 운영,,전국치매센터표준데이터_utf8.csv,정상 고위험 치매 프로그램 및 인지프로그램 운영
P0036,치매가족프로그램 등,,전국치매센터표준데이터_utf8.csv,치매가족프로그램 등
P0037,예방 및 인식개선 사업,,전국치매센터표준데이터_utf8.csv,예방 및 인식개선 사업
P0038,조기검진 사업,,전국치매센터표준데이터_utf8.csv,조기검진 사업
P0039,등록관리사업,,전국치매센터표준데이터_utf8.csv,등록관리사업
P0040,치매치료관리비 지원사업,,전국치매센터표준데이터_utf8.csv,치매치료관리비 지원사업
P0041,중증치매노인공공후견사업,,전국치매센터표준데이터_utf8.csv,중증치매노인공공후견사업
P0042,치매예방 및 등록관리,,전국치매센터표준데이터_utf8.csv,치매예방 및 등록관리
P0043,치매치료비 지원,,전국치매센터표준데이터_utf8.csv,치매치료비 지원
P0044,쉼터 및 일상생활훈련센터 운영,,전국치매센터표준데이터_utf8.csv,쉼터 및 일상생활훈련센터 운영
P0045,지역자원강화 사업 등,,전국치매센터표준데이터_utf8.csv,지역자원강화 사업 등
P0046,"치매환자의 등록·관리, 치매의 예방·교육 및 홍보, 치매조기검진 등",,전국치매센터표준데이터_utf8.csv,"치매환자의 등록·관리, 치매의 예방·교육 및 홍보, 치매조기검진 등"
P0047,치매환자 등록관리,,전국치매센터표준데이터_utf8.csv,치매환자 등록관리
P0048,치매환자 인지재활프로그램,,전국치매센터표준데이터_utf8.csv,치매환자 인지재활프로그램
P0049,가족치유 프로그램,,전국치매센터표준데이터_utf8.csv,가족치유 프로그램
P0050,기억키움학교 운영,,전국치매센터표준데이터_utf8.csv,기억키움학교 운영
P0051,치매환자 상담 및 등록관리,,전국치매센터표준데이터_utf8.csv,치매환자 상담 및 등록관리
P0052,치매예방관리,,전국치매센터표준데이터_utf8.csv,치매예방관리
P0053,치매환자쉼터운영,,전국치매센터표준데이터_utf8.csv,치매환자쉼터운영
P0054,치매가족지원,,전국치매센터표준데이터_utf8.csv,치매가족지원
P0055,치매인식개선및교육홍보,,전국치매센터표준데이터_utf8.csv,치매인식개선및교육홍보
P0056,치매안심마을운영,,전국치매센터표준데이터_utf8.csv,치매안심마을운영
P0057,치매예방및인식개선사업,,전국치매센터표준데이터_utf8.csv,치매예방및인식개선사업
P0058,치매조기검진 및 등록관리사업,,전국치매센터표준데이터_utf8.csv,치매조기검진 및 등록관리사업
P0059,치매치료비및원인확진검사비지원,,전국치매센터표준데이터_utf8.csv,치매치료비및원인확진검사비지원
P0060,공공후견사업,,전국치매센터표준데이터_utf8.csv,공공후견사업
P0061,경증 치매환자 대상 단기 보호(쉼터)운영,,전국치매센터표준데이터_utf8.csv,경증 치매환자 대상 단기 보호(쉼터)운영
P0062,치매가족교육,,전국치매센터표준데이터_utf8.csv,치매가족교육
P0063,온라인 치매예방 프로그램,,전국치매센터표준데이터_utf8.csv,온라인 치매예방 프로그램
P0064,치매가족 카페,,전국치매센터표준데이터_utf8.csv,치매가족 카페
P0065,힐링 프로그램 등,,전국치매센터표준데이터_utf8.csv,힐링 프로그램 등
P0066,"무료치매검사, 고도화장비기반 치매검사, 인지건강프로그램, 치매환자 가족교육 및 지지프로그램, 안심하우스 및 기억키움학교 운영, 치매 홍보서포터즈 운영 등",,전국치매센터표준데이터_utf8.csv,"무료치매검사, 고도화장비기반 치매검사, 인지건강프로그램, 치매환자 가족교육 및 지지프로그램, 안심하우스 및 기억키움학교 운영, 치매 홍보서포터즈 운영 등"
