운영기관ID,센터ID
O0001,C0001
O0002,C0002
O0003,C0003
O0004,C0004
O0005,C0005
O0006,C0006
O0007,C0007
O0007,C0008
O0008,C0009
O0009,C0010
O0010,C0011
O0011,C0012
O0012,C0013
O0013,C0014
O0012,C0015
O0014,C0016
O0006,C0017
O0015,C0018
O0016,C0019
O0017,C0020
O0018,C0021
O0019,C0022
O0020,C0023
O0021,C0024
O0022,C0025
O0023,C0026
O0024,C0027
O0025,C0028
O0026,C0029
O0027,C0030
O0028,C0031
O0029,C0032
O0030,C0033
O0031,C0034
O0032,C0035
O0033,C0036
O0034,C0037
O0035,C0038
O0036,C0039
O0037,C0040
O0038,C0041
O0039,C0042
O0040,C0043
O0041,C0044
O0042,C0045
O0043,C0046
O0044,C0047
O0045,C0048
O0046,C0049
O0047,C0050
O0048,C0051
O0049,C0052
O0050,C0053
O0051,C0054
O0052,C0055
O0053,C0056
O0054,C0057
O0055,C0058
O0056,C0059
O0057,C0060
O0058,C0061
O0059,C0062
O0060,C0063
O0061,C0064
O0062,C0065
O0063,C0066
O0064,C0067
O0065,C0068
O0066,C0069
O0067,C0070
O0068,C0071
O0069,C0072
O0070,C0073
O0071,C0075
O0072,C0076
O0073,C0077
O0074,C0081
O0075,C0082
O0076,C0083
O0077,C0084
O0078,C0085
O0079,C0086
O0080,C0087
O0081,C0089
O0082,C0098
O0083,C0101
O0084,C0104
O0085,C0105
O0086,C0106
O0087,C0107
O0088,C0108
O0089,C0112
O0090,C0113
O0091,C0114
O0092,C0115
O0093,C0117
O0094,C0118
O0095,C0119
O0096,C0120
O0097,C0123
O0098,C0124
O0099,C0125
O0100,C0126
O0101,C0127
O0102,C0128
O0103,C0129
O0104,C0130
O0105,C0131
O0106,C0132
O0107,C0133
O0108,C0134
O0109,C0135
O0110,C0136
O0111,C0137
O0112,C0138
O0113,C0139
O0114,C0140
O0115,C0141
O0116,C0142
O0117,C0143
O0118,C0144
O0119,C0145
O0120,C0146
O0121,C0147
O0122,C0148
O0123,C0149
O0124,C0154
O0125,C0155
O0126,C0156
O0127,C0157
O0128,C0158
O0129,C0159
O0130,C0160
O0131,C0161
O0132,C0162
O0133,C0163
O0134,C0164
O0135,C0165
O0136,C0168
O0137,C0169
O0138,C0170
O0139,C0171
O0140,C0172
O0141,C0173
O0142,C0174
O0143,C0175
O0144,C0176
O0145,C0177
O0146,C0178
O0147,C0179
O0148,C0180
O0149,C0181
O0150,C0182
O0151,C0183
O0152,C0184
O0153,C0185
O0154,C0186
O0155,C0187
O0156,C0188
O0157,C0189
O0158,C0190
O0159,C0191
O0160,C0192
O0161,C0193
O0162,C0194
O0163,C0195
O0164,C0196
O0165,C0197
O0166,C0198
O0167,C0199
O0168,C0200
O0169,C0201
O0170,C0202
O0171,C0203
O0172,C0204
O0173,C0205
O0174,C0206
O0175,C0207
O0176,C0208
O0177,C0209
O0178,C0212
O0179,C0213
O0180,C0214
O0181,C0215
O0182,C0216
O0183,C0217
O0184,C0218
O0185,C0219
O0186,C0220
O0187,C0221
O0188,C0222
O0189,C0223
O0190,C0224
O0191,C0225
O0192,C0226
O0193,C0227
O0194,C0228
O0195,C0231
O0196,C0232
O0197,C0233
O0198,C0234
O0199,C0235
O0200,C0236
O0201,C0237
O0202,C0238
O0203,C0239
O0204,C0240
O0205,C0241
O0206,C0242
O0207,C0244
O0208,C0245
O0209,C0246
O0210,C0247
O0211,C0248
O0212,C0249
O0213,C0250
O0214,C0257
O0215,C0258
O0216,C0259
O0217,C0260
O0218,C0261
O0219,C0262
O0049,C0263
O0220,C0264
O0156,C0265
O0221,C0266
O0222,C0267
O0223,C0268
O0224,C0269
O0225,C0270
O0226,C0271
O0227,C0272
O0096,C0273
O0228,C0274
O0229,C0275
O0230,C0276
O0198,C0277
O0091,C0278
O0086,C0279
O0086,C0280
O0082,C0281
O0082,C0282
O0231,C0283
O0232,C0284
O0233,C0285
O0234,C0286
O0235,C0287
O0236,C0288
O0237,C0289
O0238,C0290
O0239,C0291
O0240,C0292
O0241,C0293
O0242,C0294
O0243,C0295
O0244,C0296
O0245,C0297
O0246,C0298
O0247,C0299
O0248,C0300
O0249,C0301
O0250,C0302
O0251,C0303
O0252,C0304
O0006,C0305
O0253,C0306
O0254,C0307
O0255,C0308
O0256,C0309
O0257,C0310
O0003,C0311
O0077,C0312
O0258,C0313
O0259,C0314
O0260,C0315
O0261,C0316
O0072,C0317
O0262,C0318
O0263,C0319
O0084,C0320
O0090,C0321
O0264,C0322
O0265,C0323
O0266,C0324
O0066,C0325
O0267,C0326
O0268,C0327
O0269,C0328
O0065,C0329
O0270,C0330
O0271,C0331
O0272,C0332
O0273,C0333
O0274,C0334
O0090,C0335
O0275,C0336
O0276,C0337
O0277,C0338
O0278,C0339
O0279,C0340
O0280,C0341
O0281,C0342
O0282,C0343
O0283,C0344
O0284,C0345
O0285,C0346
O0286,C0347
O0287,C0348
O0288,C0349
O0032,C0350
O0032,C0351
O0094,C0352
O0094,C0353
O0289,C0354
O0289,C0355
O0090,C0356
O0290,C0357
